country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cote d'Ivoire,,,,,,,,,,,,,,,,0.658,0.658,0.658,0.658,0.658,0.312,0.312,0.312,0.312,0.312,0.281,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.539,0.182,0.182,0.182,0.182,0.259,0.259,0.259,0.259
Croatia,,,,,,,,,,,,,,,,,0,0.745,0.745,0.745,0.722,0.722,0.643,0.643,0.643,0.81,0.81,0.81,0.72,0.72,0.634,0.634,0.708,0.708,0.652,0.652,0.661,0.661,0.661,0.661,0.64,0.555,0.555,0.555
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.907,0.907,0.907,0.907,0.907,0.899,0.899,0.899,0.899,0.899,0.91,0.91,0.91,0.91,0.91,0.922,0.922,0.922,0.922,0.922,0.888,0.888,0.888,0.888,0.888,0.808
Cyprus,0.548,0.623,0.623,0.623,0.623,0.623,0.728,0.728,0.728,0.728,0.78,0.78,0.78,0.78,0.78,0.78,0.786,0.786,0.787,0.787,0.787,0.759,0.759,0.856,0.856,0.856,0.677,0.677,0.783,0.783,0.783,0.604,0.604,0.788,0.788,0.788,0.472,0.472,0.496,0.496,0.496,0.391,0.391,0.405
Czech Republic,,,,,,,,,,,,,,,,0.931,0.931,0.838,0.838,0.838,0.838,0.776,0.776,0.767,0.767,0.767,0.767,0.59,0.59,0.59,0.59,0.651,0.651,0.651,0.651,0.622,0.622,0.622,0.6,0.6,0.6,0.6,0.6,0.634
Denmark,0.882,0.882,0.877,0.877,0.832,0.832,0.863,0.863,0.863,0.86,0.86,0.86,0.858,0.827,0.827,0.804,0.804,0.804,0.804,0.817,0.817,0.817,0.817,0.831,0.831,0.831,0.843,0.843,0.843,0.843,0.813,0.813,0.832,0.832,0.832,0.832,0.818,0.818,0.818,0.818,0.803,0.803,0.803,0.803
Dominican Republic,0.694,0.694,0.694,0.629,0.629,0.629,0.629,0.656,0.656,0.656,0.656,0.607,0.607,0.607,0.607,0.488,0.488,0.488,0.488,0.306,0.306,0.605,0.605,0.456,0.456,0.653,0.653,0.47,0.47,0.695,0.695,0.564,0.564,0.716,0.716,0.586,0.586,0.702,0.702,0.702,0.702,0.66,0.66,0.66
Ecuador,0,0,0,0.397,0.426,0.426,0.426,0.426,0.426,0.625,0.625,0.649,0.649,0.671,0.671,0.647,0.647,0.707,0.707,0.663,0.663,0.717,0.717,0.72,0.72,0.72,0.72,0.703,0.703,0.703,0.703,0.841,0.841,0.841,0.905,0.905,0.905,0.905,0.905,0.905,0.905,0.905,0.904,0.904
Egypt,,0.189,0.189,0.189,0.189,0,0.189,0.189,0.189,0.216,0.216,0.216,0.272,0.272,0.272,0.25,0.25,0.25,0.25,0.25,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.198,0.198,0.198,0.198,0.198,0.162,0.55,0.496,0.496,0.471,0.275,0.275,0.275,0.399
El Salvador,0.456,0.456,0.591,0.415,0.415,0,0,0.415,0,0.305,0.483,0.483,0.483,0.435,0.394,0.394,0.44,0.44,0.44,0.511,0.511,0.511,0.822,0.822,0.381,0.38,0.38,0.38,0.286,0.631,0.631,0.527,0.527,0.527,0.724,0.724,0.724,0.724,0.724,0.801,0.612,0.612,0.612,0.584
Equatorial Guinea,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0.245,0.245,0.245,0.789,0.789,0.746,0.746,0.746,0.746,0.746,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.746,0.746,0.746
Eritrea,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,,,,,,,,,,,,,,,,,,0.409,0.409,0.409,0.488,0.488,0.488,0.488,0.46,0.46,0.46,0.46,0.481,0.481,0.481,0.481,0.534,0.534,0.534,0.534,0.555,0.555,0.555,0.555,0.568,0.568,0.568,0.568
Eswatini,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0.76,0.76,0.76,0.76,0.76,0.6,0.6,0.6,0.6,0.6,0.662,0.662,0.662,0.662,0.662,0.712,0.712,0.712,0.712,0.712,0.701,0.701,0.701,0.701
Finland,0.803,0.803,0.803,0.693,0.813,0.813,0.813,0.881,0.811,0.811,0.811,0.811,0.773,0.825,0.825,0.825,0.719,0.719,0.719,0.814,0.711,0.711,0.711,0.711,0.652,0.768,0.768,0.768,0.7,0.7,0.7,0.776,0.682,0.682,0.682,0.682,0.728,0.675,0.675,0.675,0.731,0.731,0.731,0.675
France,0.724,0.724,0.724,0.634,0.634,0.634,0.77,0.77,0.77,0.77,0.77,0.699,0.699,0.764,0.764,0.764,0.764,0.764,0.613,0.613,0.723,0.723,0.599,0.599,0.599,0.599,0.599,0.699,0.699,0.699,0.699,0.699,0.768,0.768,0.768,0.768,0.768,0.712,0.712,0.712,0.712,0.712,0.679,0.679
Gabon,,,,,,,,,,,,,,,,,,,0.579,0.579,0.579,0.579,0.579,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.43,0.43,0.43,0.43,0.4,0.4,0.282,0.282,0.282,0.282,0.282,0.419,0.419,0.339
