country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Colombia,0.578,0.578,0.578,0.563,0.563,0.563,0.563,0.563,0.573,0.553,0.553,0.559,0.559,0.559,0.559,0.598,0.658,0.658,0.658,0.665,0.647,0.647,0.647,0.633,0.633,0.633,0.633,0.702,0.702,0.702,0.702,0.702,0.702,0.702,0.702,0.687,0.687,0.687,0.7,0.735,0.735,0.73,0.73,0.722
"Congo, Dem. Rep.",0.122,0.122,0.127,0.127,0.127,0.127,0.127,0.131,0.131,0.122,0.122,0.122,0.131,0.131,0.131,0.295,0.328,0.328,0.318,0.318,0.318,0.318,0.156,0.222,0.222,0.222,0.284,0.294,0.378,0.378,0.401,0.495,0.512,0.503,0.512,0.503,0.489,0.48,0.455,0.455,0.441,0.426,0.439,0.448
"Congo, Rep.",0.116,0.116,0.0797,0.0797,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.114,0.276,0.418,0.561,0.549,0.549,0.549,0.549,0.398,0.398,0.398,0.398,0.398,0.454,0.454,0.454,0.454,0.454,0.454,0.454,0.454,0.426,0.426,0.421,0.422,0.422,0.422,0.427,0.432,0.431
Costa Rica,0.718,0.744,0.744,0.772,0.772,0.793,0.793,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.828,0.828,0.828,0.828,0.828,0.828,0.828,0.828,0.837,0.837,0.837,0.837,0.848,0.848,0.863,0.863,0.863,0.91,0.91,0.783,0.826,0.815,0.797,0.797,0.797
Cote d'Ivoire,0.114,0.114,0.114,0.114,0.114,0.127,0.127,0.127,0.127,0.127,0.131,0.131,0.131,0.149,0.149,0.429,0.429,0.429,0.48,0.48,0.486,0.486,0.486,0.486,0.478,0.556,0.568,0.584,0.584,0.584,0.584,0.583,0.595,0.556,0.556,0.534,0.484,0.515,0.506,0.506,0.521,0.54,0.596,0.569
Croatia,,,,,,,,,,,,,,,,,0.452,0.516,0.516,0.516,0.498,0.511,0.511,0.511,0.54,0.709,0.709,0.709,0.709,0.709,0.717,0.717,0.717,0.717,0.722,0.734,0.734,0.734,0.711,0.707,0.707,0.684,0.658,0.648
Cuba,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.111,0.111,0.111,0.111,0.111,0.111
Cyprus,0.6,0.627,0.627,0.627,0.627,0.627,0.629,0.629,0.639,0.639,0.639,0.639,0.639,0.639,0.651,0.651,0.651,0.673,0.673,0.673,0.673,0.673,0.673,0.673,0.673,0.662,0.662,0.662,0.662,0.662,0.662,0.666,0.666,0.662,0.662,0.662,0.666,0.666,0.658,0.658,0.658,0.658,0.647,0.637
Czech Republic,0.176,0.176,0.176,0.176,0.176,0.176,0.176,0.176,0.176,0.176,0.176,0.181,0.181,0.181,0.205,0.745,0.745,0.745,0.788,0.788,0.788,0.784,0.784,0.788,0.788,0.788,0.788,0.788,0.788,0.788,0.788,0.775,0.775,0.775,0.759,0.777,0.777,0.777,0.745,0.745,0.745,0.745,0.679,0.678
Denmark,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.753,0.753,0.753,0.753,0.753,0.753,0.763,0.763,0.752,0.752,0.726,0.726,0.726,0.726
Dominican Republic,0.399,0.399,0.399,0.503,0.593,0.593,0.593,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.593,0.593,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.561,0.561,0.561,0.561,0.527,0.54
Ecuador,0.246,0.246,0.246,0.331,0.632,0.691,0.691,0.691,0.691,0.703,0.703,0.699,0.699,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.699,0.711,0.711,0.711,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.597,0.567,0.587,0.587,0.587,0.587,0.594,0.594,0.594,0.594,0.636,0.621
Egypt,0.205,0.261,0.261,0.261,0.261,0.241,0.261,0.261,0.261,0.261,0.261,0.261,0.261,0.261,0.261,0.261,0.261,0.261,0.291,0.291,0.296,0.296,0.296,0.296,0.291,0.291,0.291,0.291,0.291,0.291,0.335,0.335,0.335,0.335,0.335,0.335,0.362,0.4,0.374,0.337,0.347,0.347,0.336,0.336
El Salvador,0.334,0.328,0.314,0.309,0.304,0.281,0.281,0.341,0.281,0.365,0.375,0.392,0.392,0.397,0.397,0.397,0.408,0.451,0.582,0.616,0.608,0.616,0.616,0.616,0.637,0.637,0.672,0.672,0.672,0.672,0.672,0.676,0.676,0.676,0.717,0.717,0.717,0.732,0.744,0.744,0.744,0.756,0.737,0.692
Equatorial Guinea,0.0286,0.0286,0.0286,0.0286,0.0286,0.117,0.117,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.302,0.32,0.32,0.315,0.315,0.315,0.315,0.33,0.33,0.33,0.33,0.315,0.315,0.322,0.322,0.322,0.322,0.322,0.322,0.339,0.322,0.322,0.322,0.341,0.322,0.322
Eritrea,,,,,,,,,,,,,,,,,,,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.0875,0.0875,0.0875,0.0875,0.0994,0.0994
Estonia,,,,,,,,,,,,,,,,,0.642,0.697,0.697,0.636,0.636,0.636,0.636,0.636,0.626,0.653,0.653,0.653,0.659,0.659,0.659,0.659,0.678,0.678,0.678,0.678,0.688,0.688,0.669,0.691,0.695,0.706,0.695,0.69
Eswatini,0.105,0.105,0.105,0.136,0.136,0.136,0.136,0.136,0.136,0.136,0.136,0.136,0.136,0.136,0.136,0.136,0.136,0.136,0.172,0.172,0.172,0.172,0.172,0.172,0.136,0.136,0.136,0.136,0.136,0.136,0.136,0.136,0.136,0.128,0.128,0.128,0.128,0.128,0.155,0.155,0.155,0.155,0.155,0.155
