country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0.0427,0,0,0,0,0,0,0,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111
Finland,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.192,0.192,0.192,0.192,0.192,0.181,0.169,0.157,0.146,0.134,0.123,0.111,0.0999,0.0883,0.0768,0.0653,0.0538,0.0423,0.0307,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192
France,0.293,0.283,0.257,0.242,0.227,0.211,0.196,0.181,0.165,0.15,0.134,0.119,0.104,0.273,0.273,0.273,0.273,0.273,0.273,0.273,0.273,0.273,0.257,0.242,0.227,0.273,0.273,0.273,0.273,0.273,0.247,0.247,0.247,0.247,0.247,0.222,0.196,0.17,0.145,0.119,0.0935,0.0679,0.0423,0.0423
Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0171,0.0171,0.0171,0.0171,0.171,0.171,0.171,0.171,0.171,0.16,0.15,0.14,0.141,0.131,0.12,0.11,0.0999,0.0896,0.0794,0.0691,0.0589,0.0487,0.0384,0.0282,0.0282,0.0282,0.0282,0.0282
Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156,0.156,0.156,0.156,0.156,0.148,0.138,0.13,0.12,0.112,0.102,0.0939,0.0845,0.076,0.0666,0.058,0.0487,0.0401,0.0307,0.0222,0.0222,0.0333,0.0333
Georgia,,,,,,,,,,,,,,,,,0.0854,0,0,0,0.0299,0.0299,0.0299,0.0299,0.0299,0.0299,0.0299,0.0299,0.184,0.273,0.274,0.275,0.275,0.434,0.419,0.403,0.388,0.373,0.344,0.318,0.291,0.264,0.237,0.21
Germany,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141
Ghana,0,0,0,0,0.256,0.256,0.256,0,0,0,0,0,0,0,0,0,0,0,0.209,0.209,0.209,0.209,0.196,0.184,0.173,0.161,0.149,0.137,0.125,0.114,0.101,0.0896,0.0781,0.0666,0.0551,0.0423,0.0307,0.0307,0.0307,0.0307,0.0307,0.0307,0.0307,0.0307
Greece,0.256,0.256,0.256,0.256,0.241,0.225,0.21,0.195,0.179,0.164,0.149,0.133,0.118,0.102,0.0871,0.0717,0.0563,0.041,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.256,0.256,0.256,0.256
Guatemala,0,0,0,0,0,0,0,0,0,0,0,0.0423,0.0423,0.0423,0.0423,0.0423,0.0423,0.0423,0.0423,0.193,0.193,0.193,0.193,0.193,0.177,0.177,0.177,0.177,0.177,0.16,0.143,0.127,0.11,0.0922,0.0755,0.0589,0.0423,0.0423,0.0423,0.0423,0.0423,0.0423,0.0423,0.193
Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909,0.0909,0.0909,0.0909,0.0909,0.172,0.161,0.151,0.141,0.131,0,0,0.182,0.182,0.182,0.182,0.172,0.161,0.151,0,0,0.181,0.165,0.15,0.134,0.119,0.104,0.0883,0.073
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0.00854,0.00854,0.00854,0.00854,0.00854,0.00854,0.00854,0.00854,0.00854,0.00854,0.00854,0.0171,0.0171,0.0171,0.0171,0.0171,0.0256,0.0256,0.0256,0.0171,0.0256,0.0256,0.0256,0.0256,0.0256,0.0171,0.0171,0.0171,0,0,0.0256,0.0256,0.0256,0.0256,0.0256
Haiti,0,0,0,0,0,0,0,0,0.00854,0.00854,0.0854,0.171,0.0854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218,0.0218,0.0218,0.0218,0.0218,0.0218,0.0218,0.0218,0.0218,0.0145
Hungary,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.107,0.318,0.318,0.318,0.318,0.318,0.302,0.286,0.471,0.455,0.439,0.423,0.407,0.378,0.347,0.452,0.439,0.425,0.412,0.425,0.412,0.398,0.455,0.44,0.407,0.374,0.341,0.487,0.467,0.447
India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran,0,0,0,0,0,0.178,0.178,0.178,0.178,0.168,0.158,0.148,0.137,0.127,0.19,0.179,0.169,0.0794,0.0743,0.0666,0.0589,0.103,0.0879,0.0734,0.0683,0.0632,0.0589,0.0538,0.0495,0.0222,0.0196,0.0175,0.0149,0.0124,0.0124,0.0124,0.0124,0.0124,0.0124,0.0124,0.0124,0.0124,0.0124,0.0124
Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0965,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111,0.0965,0,0,0.112,0.112,0.112,0.112,0.112,0.105,0.099,0.0922,0.0854,0.0785,0.0717,0.0649,0.058,0.0512
Ireland,0.266,0.266,0.252,0.237,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266
Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166,0.0166,0.0166,0.0166,0.0166
Italy,0.318,0.318,0.318,0.318,0.318,0.318,0.318,0.318,0.318,0.318,0.318,0.318,0.351,0.351,0.479,0.351,0.351,0.351,0.351,0.351,0.351,0.351,0.351,0.351,0.351,0.318,0.469,0.469,0.469,0.469,0.469,0.458,0.452,0.452,0.452,0.452,0.469,0.452,0.435,0.419,0.402,0.485,0.485,0.485
Jamaica,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166
Japan,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166
Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,,,,,,,,,,,,,,,,,0,0,0,0,0.166,0.166,0.166,0.166,0.166,0.157,0.148,0.139,0.13,0.121,0.112,0.103,0.0939,0.0427,0.038,0.0337,0.029,0.0495,0.0401,0.0316,0.0316,0.0316,0.0316,0.0316
Kenya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128,0,0,0,0,0.196,0.196,0.196,0.196,0.196,0.187,0.177,0.168,0.105
Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic,,,,,,,,,,,,,,,,,0.0854,0,0,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.25,0.25,0.25,0.25,0.166,0.166,0.25,0.25,0.25,0.236,0.25,0.25,0.25
Lao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,,,,,,,,,,,,,,,,,0.192,0.064,0.0781,0.0589,0.0589,0.0589,0.0589,0.273,0.25,0.25,0.25,0.25,0.357,0.334,0.31,0.287,0.357,0.54,0.533,0.526,0.711,0.68,0.649,0.618,0.588,0.544,0.479,0.412
